transaction_id,user_id,age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
TXN00001,U00001,21,Male,3.23,2.01,0.89,4.55,7.55,248,154,3.95,Medium,Yes,,0
TXN00002,U00002,24,Other,5.09,3.81,2.24,4.44,7.66,127,71,6.71,Medium,Yes,,0
TXN00003,U00003,31,Other,6.06,1.36,4.63,2.35,4.12,79,131,8.68,High,No,Mild,0
TXN00004,U00004,32,Other,7.83,5.85,3.11,3.54,6.63,248,157,9.77,High,Yes,Moderate,1
TXN00005,U00005,25,Male,9.96,5.92,5.82,5.27,3.81,241,252,12.55,Low,No,Severe,1
TXN00006,U00006,26,Male,9.32,4.26,2.69,3.99,4.5,187,131,10.98,Medium,Yes,Severe,1
TXN00007,U00007,25,Male,10.4,4.93,4.0,0.86,6.21,270,170,11.43,Medium,No,Severe,1
TXN00008,U00008,26,Male,4.26,4.6,3.76,4.61,4.83,239,167,5.66,Low,No,Moderate,1
TXN00009,U00009,21,Other,4.38,1.38,2.72,3.78,6.23,172,134,6.2,High,Yes,,0
TXN00010,U00010,35,Other,9.76,4.73,3.76,2.11,3.0,125,157,12.69,Low,Yes,Severe,1
TXN00011,U00011,34,Female,8.48,1.34,4.65,3.47,6.4,225,65,10.48,Medium,Yes,Moderate,1
TXN00012,U00012,27,Other,5.16,1.82,2.27,0.93,7.79,228,32,8.1,High,Yes,,0
TXN00013,U00013,33,Other,11.52,1.41,4.51,3.84,6.44,263,141,13.8,Medium,No,Severe,1
TXN00014,U00014,32,Male,4.09,1.74,1.35,3.74,5.54,76,16,4.77,High,Yes,,0
TXN00015,U00015,19,Male,10.74,0.89,3.35,4.18,3.06,158,236,12.68,Low,No,Severe,1
TXN00016,U00016,21,Male,3.87,2.87,1.69,3.07,7.78,192,180,4.62,Medium,No,,0
TXN00017,U00017,24,Other,4.71,2.97,1.69,2.03,5.62,39,128,7.23,High,Yes,,0
TXN00018,U00018,35,Female,10.52,5.83,5.31,5.17,3.65,214,188,11.55,Medium,Yes,Moderate,1
TXN00019,U00019,18,Female,11.87,1.96,4.74,3.0,4.8,277,207,14.02,Medium,Yes,Moderate,1
TXN00020,U00020,24,Other,11.72,3.69,3.77,4.61,3.16,239,187,13.48,High,Yes,Moderate,1
TXN00021,U00021,20,Female,10.66,0.88,1.87,5.24,4.72,317,210,11.78,High,Yes,Moderate,1
TXN00022,U00022,34,Female,5.85,1.93,2.68,2.23,5.7,53,180,7.1,Medium,Yes,,0
TXN00023,U00023,21,Other,3.66,1.67,1.86,5.63,7.66,280,102,5.08,Low,No,Mild,0
TXN00024,U00024,34,Female,3.07,4.99,3.6,4.15,6.33,159,157,3.86,Low,Yes,Severe,1
TXN00025,U00025,24,Male,9.46,1.62,4.14,1.95,5.1,306,78,10.19,Medium,No,Moderate,1
TXN00026,U00026,28,Female,9.94,4.0,2.65,4.58,5.38,199,208,10.46,Low,Yes,Moderate,1
TXN00027,U00027,35,Female,4.33,1.2,1.23,5.44,8.08,240,25,7.08,Low,Yes,,0
TXN00028,U00028,35,Male,10.96,2.74,4.08,1.35,7.08,311,106,13.9,Low,No,Moderate,1
TXN00029,U00029,28,Male,10.04,2.76,4.28,4.54,4.02,130,92,11.5,Low,No,Moderate,1
TXN00030,U00030,32,Other,6.15,5.01,5.89,1.73,5.07,227,174,7.35,Low,No,Severe,1
TXN00031,U00031,34,Other,6.6,5.9,3.74,5.67,3.42,156,110,8.55,Medium,Yes,Moderate,1
TXN00032,U00032,31,Other,6.11,4.83,3.35,5.91,3.42,320,212,7.09,Low,No,Moderate,1
TXN00033,U00033,35,Other,9.18,5.67,5.35,1.58,4.04,295,174,11.24,High,Yes,Severe,1
TXN00034,U00034,27,Other,9.0,2.29,5.19,3.55,3.0,295,187,11.19,Low,No,Severe,1
TXN00035,U00035,18,Other,5.73,1.66,3.14,3.84,5.95,133,128,7.92,High,No,,0
TXN00036,U00036,20,Male,5.55,4.15,4.08,1.01,7.18,150,144,6.61,Low,Yes,Moderate,1
TXN00037,U00037,25,Male,11.86,3.86,5.47,3.0,6.09,272,139,14.16,Medium,No,Severe,1
TXN00038,U00038,22,Other,8.9,0.53,4.6,4.74,3.38,198,121,9.84,High,No,Moderate,1
TXN00039,U00039,25,Male,11.26,1.17,2.93,3.06,4.49,268,242,12.55,Medium,No,Severe,1
TXN00040,U00040,33,Male,7.05,4.63,5.76,2.03,5.6,249,250,8.15,Medium,Yes,Severe,1
TXN00041,U00041,26,Female,6.02,5.41,2.72,1.33,3.82,164,144,6.68,Medium,No,Severe,1
TXN00042,U00042,19,Female,4.86,2.81,4.42,3.71,6.83,274,187,6.31,Low,No,Mild,0
TXN00043,U00043,31,Other,7.84,4.54,5.6,5.44,4.3,194,201,9.55,Medium,No,Severe,1
TXN00044,U00044,23,Female,10.56,5.56,5.52,3.44,6.98,241,209,12.72,Low,No,Moderate,1
TXN00045,U00045,23,Female,3.45,2.59,0.85,2.3,7.93,117,86,5.83,Medium,No,,0
TXN00046,U00046,18,Other,9.74,0.79,5.41,1.73,3.21,256,75,12.13,Low,Yes,Moderate,1
TXN00047,U00047,22,Female,5.15,3.1,0.46,5.71,6.59,85,109,6.07,High,Yes,,0
TXN00048,U00048,21,Other,8.21,5.61,3.9,5.49,4.59,273,115,8.9,High,Yes,Moderate,1
TXN00049,U00049,27,Male,10.65,3.8,2.88,5.91,5.62,213,226,12.22,Medium,Yes,Severe,1
TXN00050,U00050,31,Female,10.4,1.08,6.24,4.0,5.83,306,129,11.99,High,No,Severe,1
TXN00051,U00051,31,Male,10.43,3.76,3.69,1.85,6.31,196,205,11.54,Medium,No,Severe,1
TXN00052,U00052,33,Male,10.66,1.5,2.45,4.89,4.43,315,217,12.91,Medium,Yes,Moderate,1
TXN00053,U00053,25,Female,9.48,3.19,4.63,4.3,5.81,215,179,11.96,Low,No,Moderate,1
TXN00054,U00054,25,Female,5.76,3.7,2.69,3.42,5.61,245,180,7.09,High,No,Mild,0
TXN00055,U00055,26,Other,5.07,4.47,3.66,4.59,6.38,301,137,6.05,High,No,Severe,1
TXN00056,U00056,34,Male,8.37,5.89,4.93,2.13,4.52,167,68,10.64,Low,No,Moderate,1
TXN00057,U00057,35,Male,5.63,5.69,4.95,4.64,3.0,128,236,6.84,Medium,No,Severe,1
TXN00058,U00058,19,Male,5.27,5.24,2.86,0.86,4.31,272,251,7.49,Low,Yes,Severe,1
TXN00059,U00059,25,Female,4.07,4.7,4.83,4.85,3.12,258,187,5.7,Medium,No,Severe,1
TXN00060,U00060,19,Male,8.49,4.57,5.39,1.64,3.85,259,85,9.38,Low,Yes,Moderate,1
TXN00061,U00061,31,Female,7.05,3.77,1.97,1.77,6.88,234,156,7.73,Low,No,Mild,0
TXN00062,U00062,21,Male,7.9,4.06,6.03,5.05,3.0,167,168,9.89,High,No,Severe,1
TXN00063,U00063,32,Male,9.2,4.35,6.17,3.25,4.32,145,243,9.8,Medium,No,Severe,1
TXN00064,U00064,20,Female,5.06,4.21,5.84,3.73,3.0,320,158,7.0,Low,No,Severe,1
TXN00065,U00065,23,Female,11.97,2.9,5.66,5.83,4.22,229,175,13.27,Low,Yes,Severe,1
TXN00066,U00066,33,Female,5.59,5.7,5.65,3.53,4.15,205,154,6.9,Medium,Yes,Severe,1
TXN00067,U00067,19,Male,4.69,2.49,3.83,3.94,7.12,107,108,6.56,Medium,No,Mild,0
TXN00068,U00068,18,Other,11.76,3.85,2.56,1.37,5.38,231,169,12.49,Low,No,Moderate,1
TXN00069,U00069,22,Other,7.49,4.44,3.64,2.0,6.66,210,127,9.13,Low,No,Moderate,1
TXN00070,U00070,34,Other,9.72,1.25,2.68,4.75,5.94,212,219,10.89,Low,No,Severe,1
TXN00071,U00071,33,Male,10.79,2.96,4.34,2.33,5.53,221,206,13.62,Low,Yes,Severe,1
TXN00072,U00072,31,Male,3.39,4.6,5.22,4.96,3.84,294,128,5.13,Low,Yes,Severe,1
TXN00073,U00073,32,Other,3.9,5.51,2.46,1.29,6.02,164,109,5.57,Medium,No,Severe,1
TXN00074,U00074,20,Other,10.67,5.19,5.04,2.59,4.32,273,189,13.35,Low,Yes,Moderate,1
TXN00075,U00075,27,Male,11.98,4.61,3.34,1.04,5.75,313,90,13.59,High,No,Moderate,1
TXN00076,U00076,28,Female,10.17,2.11,3.1,1.3,5.29,234,111,11.09,Low,No,Moderate,1
TXN00077,U00077,22,Female,5.09,4.01,4.24,4.17,6.15,244,163,7.28,Low,Yes,Severe,1
TXN00078,U00078,27,Other,8.75,2.83,3.4,5.15,3.0,223,213,9.52,Medium,No,Severe,1
TXN00079,U00079,27,Male,3.2,5.07,3.98,0.54,5.99,324,102,5.98,High,No,Severe,1
TXN00080,U00080,29,Female,4.97,1.55,1.8,4.66,7.15,229,75,7.04,High,Yes,Mild,0
TXN00081,U00081,19,Male,8.22,4.53,2.76,2.12,5.46,169,141,9.05,High,No,Severe,1
TXN00082,U00082,26,Other,11.23,5.69,5.47,2.12,6.82,295,94,12.9,Low,Yes,Moderate,1
TXN00083,U00083,30,Other,11.71,4.93,3.86,4.85,3.0,262,121,13.35,High,No,Severe,1
TXN00084,U00084,29,Other,3.98,1.79,0.9,5.36,6.23,211,96,6.1,High,No,Mild,0
TXN00085,U00085,31,Other,4.05,0.75,0.95,5.98,4.22,115,177,4.89,Medium,No,Mild,0
TXN00086,U00086,22,Male,10.97,4.1,5.73,3.89,6.33,196,98,13.2,Low,No,Severe,1
TXN00087,U00087,29,Other,3.89,4.27,3.78,5.88,4.51,191,135,4.86,Low,No,Moderate,1
TXN00088,U00088,24,Male,8.78,3.78,1.69,4.83,4.0,122,209,9.79,High,Yes,Moderate,1
TXN00089,U00089,28,Male,9.97,4.84,3.98,2.03,7.33,123,203,11.1,Low,Yes,Moderate,1
TXN00090,U00090,18,Female,6.22,4.84,4.76,0.59,3.29,157,197,8.04,High,Yes,Severe,1
TXN00091,U00091,29,Female,7.62,1.1,2.82,5.7,3.9,255,173,8.87,High,Yes,Mild,0
TXN00092,U00092,30,Female,6.84,1.09,4.45,2.94,6.95,172,220,7.71,Low,No,Moderate,1
TXN00093,U00093,34,Male,5.65,3.28,2.52,4.86,4.21,222,181,7.95,Low,No,Mild,0
TXN00094,U00094,31,Male,6.05,2.99,2.46,1.02,5.62,225,105,7.49,Low,No,Mild,0
TXN00095,U00095,20,Female,3.84,1.03,3.76,4.96,6.2,205,183,5.74,High,Yes,Mild,0
TXN00096,U00096,31,Male,10.81,4.47,5.47,3.8,4.48,237,194,11.84,High,No,Moderate,1
TXN00097,U00097,29,Male,10.61,2.52,5.45,3.66,5.73,341,233,13.55,High,Yes,Severe,1
TXN00098,U00098,23,Male,5.46,4.69,5.29,2.43,3.72,126,209,7.6,Low,Yes,Moderate,1
TXN00099,U00099,34,Other,4.94,2.81,1.36,2.54,7.75,218,160,6.93,Low,Yes,,0
TXN00100,U00100,19,Male,9.07,2.0,5.05,3.17,4.09,194,145,11.46,Low,No,Severe,1
TXN00101,U00101,27,Female,9.1,3.76,3.71,2.2,3.89,243,79,9.62,Medium,Yes,Moderate,1
TXN00102,U00102,27,Female,5.95,0.54,2.99,1.47,6.21,200,73,7.7,High,No,,0
TXN00103,U00103,19,Female,6.93,3.03,1.11,2.22,5.63,158,203,8.47,Low,No,Mild,0
TXN00104,U00104,23,Female,10.21,3.9,4.93,5.56,3.3,306,92,11.32,High,No,Moderate,1
TXN00105,U00105,27,Male,9.71,1.72,4.72,0.92,5.75,225,195,10.69,Medium,No,Moderate,1
